country,updated,Confirmed,Deaths,Recovered,Latitude,Longitude,Population,Density
Italy,2020-03-18T17:33:05,35713,2978,4025,41.8719,12.5674,60461.826,200.6459
Iran,2020-03-18T12:33:02,17361,1135,5389,32.4279,53.688,83992.949,50.9606
Spain,2020-03-18T13:13:13,13910,623,1081,40.4637,-3.7492,46754.778,92.4022
Germany,2020-03-18T19:33:02,12327,28,105,51.1657,10.4515,83783.942,234.614
France,2020-03-18T18:33:02,9043,148,12,46.2276,2.2137,65273.511,118.3145
South Korea,2020-03-18T02:53:03,8413,84,1540,35.9078,127.7669,51269.185,511.6175
Switzerland,2020-03-18T14:53:05,3028,28,15,46.8182,8.2275,8654.622,209.6362
United Kingdom,2020-03-18T14:53:05,2626,71,65,55.3781,-3.436,67886.011,279.4813
Netherlands,2020-03-18T13:13:15,2051,58,2,52.1326,5.2913,17134.872,409.4354
Austria,2020-03-18T14:53:05,1646,4,9,47.5162,14.5501,9006.398,107.3839
Norway,2020-03-18T15:53:09,1550,6,1,60.472,8.4689,5421.241,16.7425
Belgium,2020-03-18T12:33:02,1486,14,31,50.5039,4.4699,11589.623,379.6391
Sweden,2020-03-18T17:53:02,1279,10,1,60.1282,18.6435,10099.265,22.4281
Denmark,2020-03-18T16:59:35,1057,4,1,56.2639,9.5018,5792.202,134.4085
Japan,2020-03-18T12:33:02,889,29,144,36.2048,138.2529,126476.461,334.6558
Malaysia,2020-03-18T10:33:04,790,2,60,4.2105,101.9758,32365.999,97.8407
Czech Republic,2020-03-18T10:33:04,464,0,3,49.8175,15.473,10708.981,135.7888
Qatar,2020-03-18T19:14:29,452,0,4,25.3548,51.1839,2881.053,248.6668
Portugal,2020-03-18T12:33:02,448,2,3,39.3999,-8.2245,10196.709,110.7255
Israel,2020-03-18T14:33:15,433,0,11,31.0461,34.8516,8655.535,416.7325
Greece,2020-03-18T16:59:34,418,5,8,39.0742,21.8243,10423.054,78.9685
Brazil,2020-03-18T19:14:29,372,3,2,-14.235,-51.9253,212559.417,24.9607
Finland,2020-03-18T13:13:13,336,0,10,61.9241,25.7482,5540.72,16.3721
Singapore,2020-03-18T13:33:12,313,0,114,1.3521,103.8198,5850.342,8239.9183
Pakistan,2020-03-18T19:14:29,299,0,2,30.3753,69.3451,220892.34,250.4698
Ireland,2020-03-18T03:13:12,292,2,5,53.1424,-7.6921,4937.786,70.2658
Slovenia,2020-03-17T16:53:04,275,1,0,46.1512,14.9955,2078.938,102.5471
Romania,2020-03-18T16:59:34,260,0,19,45.9432,24.9668,19237.691,80.6981
Estonia,2020-03-18T10:33:04,258,0,1,58.5953,25.0136,1326.535,29.3306
Bahrain,2020-03-18T12:33:02,256,1,88,26.0667,50.5577,1701.575,2224.281
Poland,2020-03-18T13:33:12,251,5,13,51.9194,19.1451,37846.611,121.0398
Iceland,2020-03-18T12:33:02,250,1,5,64.9631,-19.0208,341.243,3.313
Chile,2020-03-18T13:33:12,238,0,0,-35.6751,-71.543,19116.201,25.2826
Indonesia,2020-03-18T10:53:02,227,19,11,-0.7893,113.9213,273523.615,143.6144
Thailand,2020-03-18T10:53:02,212,1,42,15.87,100.9925,69799.978,136.0305
Luxembourg,2020-03-18T10:53:02,203,2,0,49.8153,6.1296,625.978,242.0642
Philippines,2020-03-18T10:53:02,202,19,5,12.8797,121.774,109581.078,320.0821
Egypt,2020-03-18T03:13:14,196,6,32,26.8206,30.8025,102334.404,102.0843
Saudi Arabia,2020-03-17T17:53:03,171,0,6,23.8859,45.0792,34813.871,16.1948
Iraq,2020-03-18T12:33:02,164,12,43,33.2232,43.6793,40222.493,91.7658
India,2020-03-18T13:33:12,156,3,14,20.5937,78.9629,1380004.385,419.7617
Russia,2020-03-18T12:33:02,147,0,8,61.524,105.3188,145934.462,8.5351
Peru,2020-03-18T16:59:34,145,0,1,-9.19,-75.0152,32971.854,25.6547
Kuwait,2020-03-18T10:53:02,142,0,15,29.3117,47.4818,4270.571,239.6773
Lebanon,2020-03-18T10:53:02,133,3,3,33.8547,35.8623,6825.445,653.0277
San Marino,2020-03-18T02:53:03,119,11,4,43.9424,12.4578,33.931,556.2459
South Africa,2020-03-18T10:53:02,116,0,0,-30.5595,22.9375,59308.69,48.5724
United Arab Emirates,2020-03-18T02:33:06,113,0,26,23.4241,53.8478,9890.402,118.3062
Ecuador,2020-03-18T03:13:19,111,2,0,-1.8312,-78.1834,17643.054,63.7299
Slovakia,2020-03-18T14:13:14,105,1,0,48.669,19.699,5459.642,111.3372
Taiwan,2020-03-18T07:13:12,100,1,22,23.7,121,23816.775,658.0492
Turkey,2020-03-18T02:33:06,98,1,0,38.9637,35.2433,84339.067,107.6355
Colombia,2020-03-18T14:53:05,93,0,1,4.5709,-74.2973,50882.891,44.5658
Mexico,2020-03-18T10:53:02,93,0,4,23.6345,-102.5528,128932.753,65.6355
Bulgaria,2020-03-18T15:33:15,92,2,0,42.7339,25.4858,6948.445,62.6669
Panama,2020-03-18T10:53:02,86,1,0,8.538,-80.7821,4314.767,57.2121
Armenia,2020-03-18T10:53:02,84,0,1,40.0691,45.0382,2963.243,99.6282
Serbia,2020-03-18T10:53:02,83,0,1,44.0165,21.0059,8737.371,98.8827
Croatia,2020-03-18T11:13:43,81,0,4,45.1,15.2,4105.267,72.5389
Argentina,2020-03-18T03:33:03,79,2,3,-38.4161,-63.6167,45195.774,16.2551
Vietnam,2020-03-18T15:33:15,75,0,16,14.0583,108.2772,97338.579,293.886
Algeria,2020-03-18T19:53:03,74,7,12,28.0339,1.6596,43851.044,18.4113
Latvia,2020-03-18T11:13:43,71,0,1,56.8796,24.6032,1886.198,29.2167
Brunei,2020-03-18T11:13:43,68,0,0,4.5353,114.7277,437.479,75.8853
Albania,2020-03-18T12:33:03,59,2,0,41.1533,20.1683,2877.797,100.1043
Hungary,2020-03-18T11:13:43,58,1,2,47.1625,19.5033,9660.351,103.8435
Jordan,2020-03-18T14:53:05,52,0,1,30.5852,36.2384,10203.134,114.2031
Belarus,2020-03-18T11:33:04,51,0,5,53.7098,27.9534,9449.323,45.517
Sri Lanka,2020-03-18T13:13:13,51,0,1,7.8731,80.7718,21413.249,326.3717
Costa Rica,2020-03-18T03:33:03,50,0,0,9.7489,-83.7534,5094.118,99.6892
Uruguay,2020-03-18T11:33:04,50,0,0,-32.5228,-55.7658,3473.73,19.1883
Cyprus,2020-03-18T03:13:19,49,0,0,35.1264,33.4299,1207.359,130.5112
Morocco,2020-03-18T11:33:04,49,2,1,31.7917,-7.0926,36910.56,82.6572
Andorra,2020-03-17T20:53:02,39,0,1,42.5063,1.5218,77.265,165.0962
Oman,2020-03-18T19:33:02,39,0,12,21.4735,55.9754,5106.626,16.4996
Bosnia and Herzegovina,2020-03-18T12:13:09,38,0,2,43.9159,17.6791,3280.819,64.0672
Georgia,2020-03-18T11:33:04,38,0,1,42.3154,43.3569,3989.167,57.2334
Malta,2020-03-17T15:53:12,38,0,2,35.9375,14.3754,441.543,1397.288
Venezuela,2020-03-18T11:33:04,36,0,0,6.4238,-66.5897,28435.94,31.0285
Cambodia,2020-03-18T11:33:04,35,0,1,12.5657,104.991,16718.965,92.3521
Kazakhstan,2020-03-18T11:33:04,35,0,0,48.0196,66.9237,18776.707,6.8908
Senegal,2020-03-18T11:33:04,31,0,2,14.4974,-14.4524,16743.927,85.1147
Moldova,2020-03-18T11:33:04,30,1,1,47.4116,28.3699,4033.963,119.1858
Tunisia,2020-03-18T12:33:03,29,0,0,33.8869,9.5375,11818.619,72.2365
Azerbaijan,2020-03-17T11:53:10,28,1,6,40.1431,47.5769,10139.177,117.0806
Liechtenstein,2020-03-18T19:14:33,28,0,0,47.166,9.5554,38.128,238.3
Guadeloupe,2020-03-18T10:13:16,27,0,0,16.265,-61.551,400.124,245.7764
Lithuania,2020-03-18T11:33:04,27,0,1,55.1694,23.8813,2722.289,41.689
Afghanistan,2020-03-17T11:53:10,22,0,1,33.9391,67.71,38928.346,59.685
Dominican Republic,2020-03-17T08:13:22,21,1,0,18.7357,-70.1627,10847.91,222.8824
Burkina Faso,2020-03-18T12:33:03,20,1,0,12.2383,-1.5616,20903.273,76.578
New Zealand,2020-03-18T02:53:03,20,0,0,-40.9006,174.886,4822.233,17.8293
Martinique,2020-03-18T10:13:16,19,1,0,14.6415,-61.0242,375.265,332.6817
Uzbekistan,2020-03-18T12:13:09,15,0,0,41.3775,64.5853,33469.203,74.8082
Bangladesh,2020-03-18T11:33:04,14,1,3,23.685,90.3563,164689.383,1116.0086
Ukraine,2020-03-17T19:33:02,14,2,0,48.3794,31.1656,43733.762,72.4669
Jamaica,2020-03-18T11:53:04,13,0,2,18.1096,-77.2975,2961.167,269.4174
Maldives,2020-03-15T18:20:18,13,0,0,3.2028,73.2207,540.544,1801.8133
Bolivia,2020-03-18T11:53:04,12,0,0,-16.2902,-63.5887,11673.021,10.6255
Reunion,2020-03-18T11:53:04,12,0,0,-21.1151,55.5364,895.312,356.556
French Guiana,2020-03-16T14:38:46,11,0,0,3.9339,-53.1258,298.682,3.5756
Paraguay,2020-03-18T11:53:04,11,0,0,-23.4425,-58.4438,7132.538,17.5353
Cameroon,2020-03-17T15:53:13,10,0,0,3.848,11.5021,26545.863,55.8341
Honduras,2020-03-18T11:53:04,9,0,0,15.2,-86.2419,9904.607,88.0472
Nigeria,2020-03-18T12:33:03,8,0,1,9.082,8.6753,206139.589,223.1508
Rwanda,2020-03-18T11:33:04,8,0,0,-1.9403,29.8739,12952.218,491.7692
Gibraltar,2020-03-18T14:13:42,8,0,2,36.1408,-5.3536,33.691,5615.1667
Cuba,2020-03-18T16:59:35,7,1,0,21.5218,-77.7812,11326.616,103.0779
Ghana,2020-03-17T19:33:02,7,0,0,7.9465,-1.0232,31072.94,130.2668
Guyana,2020-03-17T10:53:03,7,1,0,4.8604,-58.9302,786.552,3.6589
Monaco,2020-03-16T14:38:45,7,0,0,43.7384,7.4246,39.242,19426.7327
Trinidad and Tobago,2020-03-18T11:53:04,7,0,0,10.6918,-61.2225,1399.488,272.8047
Ivory Coast,2020-03-18T11:33:04,6,0,1,7.54,-5.5471,26378.274,81.8025
Ethiopia,2020-03-18T11:33:04,6,0,0,9.145,40.4897,114963.588,104.1054
Guatemala,2020-03-17T12:13:16,6,1,0,15.7835,-90.2308,17915.568,164.5306
Mongolia,2020-03-18T11:53:04,6,0,0,46.8625,103.8467,3278.29,2.0959
Aruba,2020-03-18T11:53:04,4,0,0,12.5211,-69.9683,106.766,593.1444
DR Congo,2020-03-18T11:33:04,4,0,0,-4.0383,21.7587,89561.403,38.1948
Equatorial Guinea,2020-03-18T14:33:15,4,0,0,1.6508,10.2679,1402.985,50.0155
Seychelles,2020-03-17T12:33:06,4,0,0,-4.6796,55.492,98.347,217.5819
French Polynesia,2020-03-15T18:20:19,3,0,0,-17.6797,-149.4068,280.908,67.4125
Saint Martin,2020-03-18T10:13:16,3,0,0,18.0708,-63.0501,38.666,729.5472
Kenya,2020-03-16T00:22:11,3,0,0,-0.0236,37.9062,53771.296,92.6505
Kyrgyzstan,2020-03-18T11:53:04,3,0,0,41.2044,74.7661,6524.195,32.629
Mauritius,2020-03-18T19:53:03,3,0,0,-20.2,57.5,1271.768,623.4157
Mayotte,2020-03-18T02:53:03,3,0,0,-12.8275,45.1662,272.815,729.4519
Curacao,2020-03-17T12:33:07,3,0,0,12.1696,-68.99,164.093,369.5788
Tanzania,2020-03-18T11:33:04,3,0,0,-6.369,34.8888,59734.218,63.205
Barbados,2020-03-18T06:33:07,2,0,0,13.1939,-59.5432,287.375,668.314
Benin,2020-03-18T14:13:56,2,0,0,9.3077,2.3158,12123.2,107.645
Liberia,2020-03-18T03:13:22,2,0,0,6.4281,-9.4295,5057.681,45.4137
Namibia,2020-03-14T16:33:03,2,0,0,-22.9576,18.4904,2540.905,3.0776
Aruba,2020-03-18T00:53:02,2,0,0,12.5186,-70.0358,106.766,593.1444
Saint Lucia,2020-03-17T04:32:19,2,0,0,13.9094,-60.9789,183.627,298.0958
Sudan,2020-03-18T12:13:09,2,1,0,12.8628,30.2176,43849.26,23.249
Zambia,2020-03-18T14:33:15,2,0,0,-15.4167,28.2833,18383.955,24.4269
Antigua and Barbuda,2020-03-15T18:20:19,1,0,0,17.0608,-61.7964,97.929,221.5588
Bhutan,2020-03-13T22:22:02,1,0,0,27.5142,90.4336,771.608,20.0971
Central African Republic,2020-03-16T03:33:03,1,0,0,6.6111,20.9394,4829.767,7.7526
Djibouti,2020-03-18T12:33:03,1,0,0,11.8251,42.5903,988,42.5862
Gabon,2020-03-14T13:33:04,1,0,0,-0.8037,11.6094,2225.734,8.3153
Gambia,2020-03-18T14:13:56,1,0,0,13.4432,-15.3101,2416.668,226.0893
Greenland,2020-03-16T16:53:06,1,0,0,71.7069,-42.6043,56.77,0.0262
Guinea,2020-03-15T06:41:54,1,0,0,9.9456,-9.6966,13132.795,53.4164
Mauritania,2020-03-15T18:20:19,1,0,0,21.0079,-10.9408,4649.658,4.5112
Montenegro,2020-03-18T19:53:03,1,0,0,42.7087,19.3744,628.066,45.4725
Nepal,2020-03-13T22:22:03,1,0,1,28.3949,84.124,29136.808,197.9658
Saint Vincent and the Grenadines,2020-03-14T16:33:03,1,0,0,12.9843,-61.2872,110.94,285.1928
Somalia,2020-03-18T00:53:03,1,0,0,5.1521,46.1996,15893.222,24.9244
Suriname,2020-03-14T16:33:03,1,0,0,3.9193,-56.0278,586.632,3.581
Bahamas,2020-03-16T03:33:03,1,0,0,24.25,-76,393.244,28.2037
Togo,2020-03-13T22:22:02,1,0,0,8.6195,0.8248,8278.724,145.7907
Cayman Islands,2020-03-16T14:53:04,1,1,0,19.3133,-81.2546,65.722,248.947
Montserrat,2020-03-18T11:53:04,1,0,0,16.7425,-62.1874,4.992,48.9412
French Guiana,2020-03-18T14:33:15,0,0,0,4,-53,298.682,3.5756
Guadeloupe,2020-03-18T14:33:15,0,0,0,16.25,-61.5833,400.124,245.7764
Mayotte,2020-03-18T14:33:15,0,0,0,-12.8431,45.1383,272.815,729.4519
Reunion,2020-03-18T14:33:15,0,0,0,-21.1351,55.2471,895.312,356.556
Guam,2020-03-18T19:14:33,0,0,0,13.4443,144.7937,168.775,307.4226
Puerto Rico,2020-03-17T16:13:14,0,0,0,18.2,-66.5,2860.853,322.5313
Republic of the Congo,2020-03-17T21:33:03,0,0,0,-1.44,15.556,5518.087,16.1348
Gambia,2020-03-18T14:13:56,0,0,0,13.4667,-16.6,2416.668,226.0893
United States,2020-03-17T23:33:02,7786,118,106,38.8974,-77.0268,331002.651,35.316
China,2020-03-11T02:18:14,81102,3241,69755,40.1824,116.4142,1439323.776,148.2775
Canada,03/15/20 02:13 AM,657,8,9,51.2538,-85.3232,37742.154,3.78
Australia,2020-03-14T02:33:04,586,6,23,-33.8688,151.2093,25499.884,3.3151
